pm-backend-api  | 2025-12-24 04:08:25,480 - backend.server.app - INFO - [odcApa8GHl8wiB6S8hJIz] ⏰ [2025-12-24T04:08:25.480956] [MAKE-EVENT] Calling chat_stream_message for event_type=message_chunk, thread_id=odcApa8G
pm-backend-api  | 2025-12-24 04:08:25,481 - backend.server.app - INFO - [odcApa8GHl8wiB6S8hJIz] ⏰ [2025-12-24T04:08:25.481019] [MAKE-EVENT] chat_stream_message completed, returning event string
pm-backend-api  | 2025-12-24 04:08:25,481 - backend.server.app - INFO - [odcApa8GHl8wiB6S8hJIz] ⏰ [2025-12-24T04:08:25.481102] [STREAM] message_chunk event yielded
pm-backend-api  | 2025-12-24 04:08:25,481 - backend.server.app - INFO - [odcApa8GHl8wiB6S8hJIz] ⏰ [2025-12-24T04:08:25.481139] [MESSAGES-STREAM] Finished processing message chunk
pm-backend-api  | 2025-12-24 04:08:25,481 - backend.server.app - INFO - [odcApa8GHl8wiB6S8hJIz] ⏰ [2025-12-24T04:08:25.481189] 📨 [MESSAGES-STREAM] Message chunk arrived: type=AIMessageChunk, agent_path=('planner:89146b22-b28b-9bc3-8043-aa42d51bca72',), chunk_name=None, has_tool_calls=False, content_preview="ough..."
pm-backend-api  | 2025-12-24 04:08:25,481 - backend.server.app - INFO - [odcApa8GHl8wiB6S8hJIz] ⏰ [2025-12-24T04:08:25.481209] [MESSAGES-STREAM] About to process message chunk...
pm-backend-api  | 2025-12-24 04:08:25,481 - backend.server.app - INFO - [odcApa8GHl8wiB6S8hJIz] ⏰ [2025-12-24T04:08:25.481226] [PROCESS-MESSAGE] _process_message_chunk started for agent=planner, message_type=AIMessageChunk
pm-backend-api  | 2025-12-24 04:08:25,481 - backend.server.app - INFO - [odcApa8GHl8wiB6S8hJIz] ⏰ [2025-12-24T04:08:25.481295] [STREAM] YIELDING message_chunk event: agent=planner, messageId=run--0d033fd9-0de5-4eba-b245-881c47cda69a, has_content=True
pm-backend-api  | 2025-12-24 04:08:25,481 - backend.server.app - INFO - [odcApa8GHl8wiB6S8hJIz] ⏰ [2025-12-24T04:08:25.481364] [MAKE-EVENT] Calling chat_stream_message for event_type=message_chunk, thread_id=odcApa8G
pm-backend-api  | 2025-12-24 04:08:25,481 - backend.server.app - INFO - [odcApa8GHl8wiB6S8hJIz] ⏰ [2025-12-24T04:08:25.481385] [MAKE-EVENT] chat_stream_message completed, returning event string
